,,update_count,driving_time,routes,source_stop_id,destination_stop_id,avg_delay,delay_std
15540,15545,1,2.3333333333333335,"('14R',)",15540,15545,0.24848484848484848,0.6600763270832833
15545,15552,1,5.0,"('14R',)",15545,15552,0.3242424242424242,0.7648653080078477
15552,15558,1,2.55,"('14R',)",15552,15558,0.5212121212121212,1.0151223989492524
15558,15566,1,2.45,"('14R',)",15558,15566,0.5181818181818182,1.166847929641687
15566,15572,1,5.0,"('14R',)",15566,15572,0.5969696969696969,1.209205536831117
15572,15614,1,1.8,"('14R',)",15572,15614,1.393939393939394,1.7587174648624266
15614,15621,1,2.2,"('14R',)",15614,15621,1.4794117647058824,1.7429997499547287
15621,15616,1,2.2666666666666666,"('14R',)",15621,15616,2.0424242424242425,1.7958337727623732
15616,15592,1,2.7333333333333334,"('14R',)",15616,15592,2.2588235294117647,1.8732757966564029
15592,15602,1,2.6666666666666665,"('14R',)",15592,15602,2.481818181818182,2.1655620727444163
15602,15619,1,2.45,"('14R',)",15602,15619,2.176470588235294,2.0203598274668964
15588,17842,1,4.0,"('14R',)",15588,17842,3.7225806451612904,3.3265306930213194
13352,13408,1,0.6,"('18',)",13352,13408,2.025,1.367623755585616
13408,16952,1,0.7333333333333333,"('18',)",13408,16952,1.65,1.3096805556679603
16952,16954,1,1.15,"('18',)",16952,16954,1.5050000000000001,1.3012038959930026
16954,14838,1,1.0,"('18',)",16954,14838,1.3800000000000001,1.1763458138167577
14838,17852,1,1.8166666666666667,"('18',)",14838,17852,0.725,0.5817293966348022
17852,16433,1,1.9666666666666666,"('18',)",17852,16433,1.3833333333333335,1.0836246694508316
16433,16446,1,0.6166666666666667,"('18',)",16433,16446,1.45,1.3173665190274668
16446,16450,2,0.7833333333333333,"('18', '23')",16446,16450,2.6636363636363636,4.005314651128605
16450,13604,1,0.23333333333333334,"('18',)",16450,13604,1.7,1.52911144727316
13604,13603,1,0.6,"('18',)",13604,13603,1.9166666666666667,1.7119012999019716
13603,13601,3,0.6166666666666667,"('18', 'LBUS', 'LOWL')",13603,13601,1.796875,4.022796682056065
13601,13599,3,0.625,"('18', 'LBUS', 'LOWL')",13601,13599,1.184375,4.097293313884179
13599,13597,1,0.6166666666666667,"('18',)",13599,13597,1.9833333333333334,1.8477668749716303
13597,13595,1,0.6,"('18',)",13597,13595,2.1363636363636362,1.8516331857431845
13595,13593,1,0.6166666666666667,"('18',)",13595,13593,2.1363636363636362,1.8424292264685378
13593,13591,1,0.6,"('18',)",13593,13591,2.1545454545454543,1.8500614240417188
13591,13589,1,0.6166666666666667,"('18',)",13591,13589,2.1363636363636362,1.8591787043061392
13589,13586,1,0.5833333333333334,"('18',)",13589,13586,2.1666666666666665,1.7716624618667856
13586,13585,1,0.6333333333333333,"('18',)",13586,13585,2.283333333333333,1.8160062741848628
13585,13581,1,0.6,"('18',)",13585,13581,2.2666666666666666,1.8777807662399264
13581,13579,1,0.6166666666666667,"('18',)",13581,13579,2.2083333333333335,1.8759038225653124
13579,13577,1,0.7166666666666667,"('18',)",13579,13577,2.183333333333333,1.8692892831882455
13577,13575,1,0.5166666666666667,"('18',)",13577,13575,2.2583333333333333,1.8961484087166776
13575,13582,1,0.5166666666666667,"('18',)",13575,13582,2.4,1.930614598326846
13582,15324,1,0.31666666666666665,"('18',)",13582,15324,2.4083333333333337,1.9988443630955335
15324,15328,1,0.6,"('18',)",15324,15328,2.5500000000000003,2.040276273627489
15328,14779,1,1.1833333333333333,"('18',)",15328,14779,2.4,2.010427362979867
14779,14844,1,1.35,"('18',)",14779,14844,1.2633333333333332,1.7641024548660342
14844,17204,1,0.5166666666666667,"('18',)",14844,17204,2.7583333333333333,2.115938791576205
17204,13925,2,0.5,"('18', '31')",17204,13925,1.075,0.804673846971554
13925,13572,2,0.6166666666666667,"('18', '31')",13925,13572,0.85,0.8949352439752783
13572,13570,2,0.55,"('18', '31')",13572,13570,0.625,0.7262919523166975
13570,13066,2,0.5833333333333334,"('18', '31')",13570,13066,0.6,0.7160497697278261
13066,13064,2,0.85,"('18', '31')",13066,13064,0.5499999999999999,0.6829082195753954
13064,13062,2,0.85,"('18', '31')",13064,13062,0.5083333333333333,0.6598323937779866
13062,13059,2,0.85,"('18', '31')",13062,13059,0.39166666666666666,0.6345482764546092
13059,13553,1,0.4166666666666667,"('18',)",13059,13553,2.1666666666666665,1.9208583939731139
13553,13552,1,0.7,"('18',)",13553,13552,2.191666666666667,1.9892704616760815
13552,13559,1,0.7666666666666667,"('18',)",13552,13559,2.4583333333333335,2.04559763809252
17860,15097,1,0.55,"('19',)",17860,15097,1.8125,3.408200893922383
15097,15099,1,0.5833333333333334,"('19',)",15097,15099,1.325,3.243968762693829
15099,15101,1,0.6,"('19',)",15099,15101,1.05,3.241398874971525
15101,15103,1,0.5,"('19',)",15101,15103,0.9875,3.2020566307713345
15103,17187,1,0.7666666666666667,"('19',)",15103,17187,0.9187500000000001,3.1873120859641806
17187,15503,2,0.25,"('19', '44')",17187,15503,2.2849999999999997,3.6548849791103293
15503,15501,2,0.5666666666666667,"('19', '44')",15503,15501,2.8428571428571425,4.252243105535174
15501,14550,2,0.7833333333333333,"('19', '44')",15501,14550,2.7,4.138115513129134
14550,14558,2,0.65,"('19', '44')",14550,14558,2.5904761904761906,4.031365123863722
14558,17077,2,0.5,"('19', '44')",14558,17077,2.5142857142857142,3.966772707666235
17077,14555,1,0.5833333333333334,"('19',)",17077,14555,1.375,3.0727837541877236
14555,14559,1,0.6,"('19',)",14555,14559,1.85625,3.1434521893400365
14559,14561,1,0.7333333333333333,"('19',)",14559,14561,2.0375,3.136850862462756
14561,17286,1,1.15,"('19',)",14561,17286,1.8499999999999999,3.067463664549807
17286,14556,1,0.65,"('19',)",17286,14556,2.0875,3.099220332062027
14556,14548,1,0.5333333333333333,"('19',)",14556,14548,2.3625,3.061780527732189
14548,14131,1,0.9333333333333333,"('19',)",14548,14131,2.475,3.012308085173228
14131,14129,1,0.5333333333333333,"('19',)",14131,14129,2.54375,3.0709322688721095
14129,14128,1,0.38333333333333336,"('19',)",14129,14128,2.6625,3.0635219383361147
14128,14122,1,0.7166666666666667,"('19',)",14128,14122,2.69375,3.0939659015574166
14122,16964,1,0.5333333333333333,"('19',)",14122,16964,2.76875,3.082578736491035
16964,16961,1,0.4666666666666667,"('19',)",16964,16961,2.775,3.1006450941699213
16961,13524,1,0.6,"('19',)",16961,13524,2.7875,3.0860708568231763
13524,13516,2,0.38333333333333336,"('19', '48')",13524,13516,3.492857142857143,7.939527624556696
13516,13522,2,0.26666666666666666,"('19', '48')",13516,13522,3.4714285714285715,7.94088045606924
13522,15229,2,0.35,"('19', '48')",13522,15229,3.414285714285714,7.955632464618254
15229,15228,2,0.3333333333333333,"('19', '48')",15229,15228,3.3857142857142857,7.956502627784023
15228,15227,2,0.8833333333333333,"('19', '48')",15228,15227,3.06875,7.4654509799029105
15227,13452,1,0.3,"('19',)",15227,13452,2.2125,1.9822125684867067
13452,14356,1,0.75,"('19',)",13452,14356,2.06875,1.9168441946769348
14356,14355,1,1.0833333333333333,"('19',)",14356,14355,2.0125,1.952733127354239
14355,14358,1,0.25,"('19',)",14355,14358,1.975,1.9628210989967136
14358,14354,1,0.7,"('19',)",14358,14354,1.98125,1.9511428275073388
14354,14353,1,0.5333333333333333,"('19',)",14354,14353,2.05,1.980908882306301
14353,14352,1,0.55,"('19',)",14353,14352,2.05625,2.0519807503970404
14352,14357,1,0.5333333333333333,"('19',)",14352,14357,2.125,2.1066561181170504
14357,14351,1,0.55,"('19',)",14357,14351,2.09375,2.0821363227864467
14351,14350,1,0.5666666666666667,"('19',)",14351,14350,2.30625,2.118322842879873
14350,16189,1,0.5,"('19',)",14350,16189,2.45,2.1651789764358975
16189,16188,1,0.35,"('19',)",16189,16188,2.5875,2.2048053580002627
16188,16202,1,0.5666666666666667,"('19',)",16188,16202,2.575,2.2386007534469683
16202,14438,1,0.6166666666666667,"('19',)",16202,14438,2.65625,2.2366548683245697
14438,17960,1,1.2,"('19',)",14438,17960,2.69375,2.2194500069461656
17960,13191,1,1.75,"('19',)",17960,13191,2.61875,2.237027417504458
13191,16999,1,1.1333333333333333,"('19',)",13191,16999,2.46875,2.1675543053558464
16999,13193,1,1.0,"('19',)",16999,13193,2.4187499999999997,2.139538501640015
13193,13192,1,0.9833333333333333,"('19',)",13193,13192,2.25,2.0519909031637216
13192,13194,2,0.5166666666666667,"('19', '27')",13192,13194,6.28125,7.008111371831929
13194,13195,2,0.7,"('19', '27')",13194,13195,6.4875,7.16294864796149
13195,13196,1,0.9833333333333333,"('19',)",13195,13196,2.1933333333333334,2.2650974960620713
13196,17423,1,1.9833333333333334,"('19',)",13196,17423,2.1375,2.423736784388932
17423,14848,1,2.183333333333333,"('19',)",17423,14848,1.85,2.34037034106428
14848,17287,1,1.1333333333333333,"('19',)",14848,17287,1.95625,2.4259620084961484
17287,14847,1,1.0,"('19',)",17287,14847,2.04375,2.649772002770553
14847,14846,1,1.1833333333333333,"('19',)",14847,14846,2.3125,2.93709039697453
14846,14851,1,1.4166666666666667,"('19',)",14846,14851,2.45625,3.04870874305828
14851,14302,1,0.8833333333333333,"('19',)",14851,14302,2.73125,3.3481773648758018
14302,15997,1,2.216666666666667,"('19',)",14302,15997,3.0875,3.497785013404912
15997,15995,1,1.9,"('19',)",15997,15995,2.94,3.6114500451441143
15995,15999,1,1.1,"('19',)",15995,15999,3.2066666666666666,3.8160313465818434
15999,16006,1,0.9166666666666666,"('19',)",15999,16006,3.453333333333333,4.11406414747313
16006,15983,1,1.4,"('19',)",16006,15983,3.8,4.436375612076661
15983,16003,1,1.5,"('19',)",15983,16003,3.96,4.584102965684781
16003,15991,1,1.2833333333333334,"('19',)",16003,15991,3.8133333333333335,4.523094179030651
15991,15987,1,1.1333333333333333,"('19',)",15991,15987,3.56875,4.4170455812303615
15987,15469,1,0.9333333333333333,"('19',)",15987,15469,3.9,4.715789082080184
15469,14845,1,1.0666666666666667,"('19',)",15469,14845,3.905882352941177,4.864343556462075
14845,13093,1,0.7666666666666667,"('19',)",14845,13093,3.8705882352941177,4.845586226903091
13557,13555,1,1.1166666666666667,"('1X',)",13557,13555,1.2114285714285713,1.2917774868878356
13555,13548,1,0.8333333333333334,"('1X',)",13555,13548,0.5742857142857143,0.7146956806686232
13548,13546,1,0.95,"('1X',)",13548,13546,0.44857142857142857,0.6486961713229666
13546,13844,1,1.4,"('1X',)",13546,13844,0.3457142857142857,0.6089252137712697
13844,13842,1,0.85,"('1X',)",13844,13842,0.28285714285714286,0.525516952368704
13842,13840,1,1.6833333333333333,"('1X',)",13842,13840,0.27058823529411763,0.47195878849663947
13840,13838,1,1.7833333333333334,"('1X',)",13840,13838,0.33428571428571424,0.5890884569264905
13838,13836,1,1.6666666666666667,"('1X',)",13838,13836,0.3,0.5815799980377997
13836,13834,1,1.7,"('1X',)",13836,13834,0.31142857142857144,0.5645255314246221
13834,13887,1,1.45,"('1X',)",13834,13887,0.5257142857142857,0.696775285382115
13887,13832,1,0.8666666666666667,"('1X',)",13887,13832,0.84,0.8971195736420896
13832,13830,1,1.1333333333333333,"('1X',)",13832,13830,1.0114285714285713,1.0162709888061725
13830,13827,1,1.1166666666666667,"('1X',)",13830,13827,1.0799999999999998,1.0709533960311197
13827,13825,1,1.1333333333333333,"('1X',)",13827,13825,1.3399999999999999,1.1535622576839715
13825,13823,1,1.1333333333333333,"('1X',)",13825,13823,1.4428571428571428,1.2811496937575744
13823,13846,1,1.9,"('1X',)",13823,13846,1.32,1.2480101809539481
13846,13853,1,1.4333333333333333,"('1X',)",13846,13853,1.3558823529411765,1.3432640428337435
13853,13897,1,1.6333333333333333,"('1X',)",13853,13897,1.3529411764705883,1.364536838752888
13897,13876,1,1.75,"('1X',)",13897,13876,1.4529411764705882,1.4579427793813065
13876,13893,1,1.4666666666666666,"('1X',)",13876,13893,1.4200000000000002,1.4083365239550816
13893,17302,1,15.9,"('1X',)",13893,17302,0.0,0.0
17302,16332,1,0.43333333333333335,"('1X',)",17302,16332,0.0,0.0
16332,13851,1,0.85,"('1X',)",16332,13851,0.0,0.0
13851,14347,1,0.8166666666666667,"('1X',)",13851,14347,1.3,1.1518101695447331
16497,16501,2,0.23333333333333334,"('2', 'KBUS')",16497,16501,1.375,2.0713889480039818
16501,15669,3,1.15,"('2', '6', 'KBUS')",16501,15669,1.2750000000000001,2.0596010588798817
15669,15671,1,1.8333333333333333,"('2',)",15669,15671,1.4454545454545455,1.0172154504957505
15671,16606,1,2.7,"('2',)",15671,16606,1.4666666666666668,1.1113737063434221
16606,16596,1,2.033333333333333,"('2',)",16606,16596,1.5,1.140175425099138
16596,16611,1,1.4666666666666666,"('2',)",16596,16611,1.3583333333333334,1.0228821431562285
16611,16604,1,0.5,"('2',)",16611,16604,1.758333333333333,1.137348058450273
16604,16601,1,1.0333333333333334,"('2',)",16604,16601,1.8333333333333333,1.326878314166774
16601,16612,1,1.0333333333333334,"('2',)",16601,16612,2.075,1.5416195734002955
16612,16595,1,1.05,"('2',)",16612,16595,2.1999999999999997,1.437168934208691
16595,16598,1,1.0333333333333334,"('2',)",16595,16598,2.3000000000000003,1.6359595460657443
16598,16594,1,1.05,"('2',)",16598,16594,2.269230769230769,1.909356180926185
16594,16597,1,1.0166666666666666,"('2',)",16594,16597,2.2846153846153845,2.070767230539667
16597,16603,1,1.05,"('2',)",16597,16603,2.4076923076923076,2.168125741457176
16603,16613,1,0.7333333333333333,"('2',)",16603,16613,2.5999999999999996,2.375920874103344
16613,16593,1,2.183333333333333,"('2',)",16613,16593,2.3636363636363638,2.0728110030934936
16593,16602,1,1.3666666666666667,"('2',)",16593,16602,2.0727272727272728,1.8585429287971313
16602,16599,1,1.0666666666666667,"('2',)",16602,16599,1.8818181818181818,1.762281578986844
16599,16587,1,0.75,"('2',)",16599,16587,1.8272727272727274,1.6829087373300484
16587,16591,1,1.6333333333333333,"('2',)",16587,16591,1.6727272727272726,1.7018172105669334
16591,16609,1,0.75,"('2',)",16591,16609,1.6181818181818182,1.7583049688937251
16609,16607,1,1.5166666666666666,"('2',)",16609,16607,1.4000000000000001,1.669730517179344
16607,16589,1,0.7666666666666667,"('2',)",16607,16589,1.4000000000000001,1.6852299546352718
16589,16585,1,1.5333333333333334,"('2',)",16589,16585,1.3454545454545455,1.92995525148312
16585,16098,1,1.5,"('2',)",16585,16098,1.1454545454545455,1.7437681247021557
16098,13892,1,1.6833333333333333,"('2',)",16098,13892,1.3636363636363635,2.077148394926432
13892,16089,1,2.25,"('2',)",13892,16089,2.058333333333333,2.4959816190076887
17499,17561,1,1.1333333333333333,"('21',)",17499,17561,0.6750000000000002,1.2136533876912903
17561,14988,1,1.3333333333333333,"('21',)",17561,14988,0.31666666666666665,0.6589707309451797
14988,15002,1,1.5333333333333334,"('21',)",14988,15002,0.2916666666666667,0.5728054299725698
15002,14986,1,0.8166666666666667,"('21',)",15002,14986,0.2916666666666667,0.6171169527191207
14986,15000,1,0.9,"('21',)",14986,15000,0.17500000000000002,0.41368631067073475
15000,14980,1,0.9,"('21',)",15000,14980,0.13333333333333333,0.3228659539846595
14980,14992,1,1.3833333333333333,"('21',)",14980,14992,0.16666666666666666,0.38217876191725525
14992,15004,1,1.5,"('21',)",14992,15004,0.041666666666666664,0.1164500152881315
15004,15012,1,0.6833333333333333,"('21',)",15004,15012,0.025000000000000005,0.0621581560508061
15012,14994,1,0.65,"('21',)",15012,14994,0.049999999999999996,0.1
14994,15015,1,0.6666666666666666,"('21',)",14994,15015,0.075,0.17645499039801518
15015,14984,1,0.6666666666666666,"('21',)",15015,14984,0.09166666666666667,0.22343733444579583
14984,15260,1,0.65,"('21',)",14984,15260,0.125,0.29271456776494437
15260,14921,1,0.38333333333333336,"('21',)",15260,14921,0.125,0.29271456776494437
14921,14920,1,1.2166666666666666,"('21',)",14921,14920,0.16666666666666666,0.3915780041490244
14920,14923,1,1.5833333333333333,"('21',)",14920,14923,0.35833333333333334,0.793677669097627
14923,15396,1,2.1666666666666665,"('21',)",14923,15396,0.5333333333333333,0.8138944909656549
15396,15071,1,0.8333333333333334,"('21',)",15396,15071,0.9,1.0171260760325902
14603,14630,1,0.38333333333333336,"('22',)",14603,14630,3.0675675675675675,5.137284953815263
14630,14607,1,0.35,"('22',)",14630,14607,3.0486486486486486,5.135476912918908
14607,14625,1,0.4666666666666667,"('22',)",14607,14625,2.5243243243243243,5.209681447150178
14625,14606,1,1.1333333333333333,"('22',)",14625,14606,1.6888888888888889,5.2682758240937
14606,14610,1,0.65,"('22',)",14606,14610,1.6833333333333333,5.206781292561791
14610,14609,1,1.0166666666666666,"('22',)",14610,14609,1.627027027027027,5.150385565321443
14609,14627,1,0.9166666666666666,"('22',)",14609,14627,1.786111111111111,5.226862089398122
14627,16754,1,1.85,"('22',)",14627,16754,1.802777777777778,5.254194847173399
16754,16491,1,1.2333333333333334,"('22',)",16754,16491,1.7305555555555556,5.237819581491326
16491,16488,1,0.38333333333333336,"('22',)",16491,16488,1.7277777777777779,5.241734233798752
16488,16493,1,0.7166666666666667,"('22',)",16488,16493,1.6805555555555556,5.2238912395397055
16493,13086,1,0.6666666666666666,"('22',)",16493,13086,1.6166666666666667,5.216375315156246
13086,14605,1,0.9666666666666667,"('22',)",13086,14605,1.5777777777777777,5.2147105719499285
14605,14624,1,0.8833333333333333,"('22',)",14605,14624,1.5944444444444443,5.209603464177313
14624,14637,1,1.5166666666666666,"('22',)",14624,14637,1.6861111111111111,5.220517367780858
14637,14636,1,1.3833333333333333,"('22',)",14637,14636,1.9228571428571428,5.312033271638233
14636,14641,1,1.4833333333333334,"('22',)",14636,14641,1.9833333333333332,5.277201639397261
14641,14615,1,1.5333333333333334,"('22',)",14641,14615,1.9764705882352942,5.38190339336116
14615,14634,1,0.8,"('22',)",14615,14634,2.023529411764706,5.384267701454574
14634,14612,1,1.2666666666666666,"('22',)",14634,14612,1.8705882352941177,5.395089204293256
14612,14642,1,1.1,"('22',)",14612,14642,1.7428571428571429,5.311047626481645
14642,14629,1,1.3,"('22',)",14642,14629,1.8542857142857145,5.3659242314016
14629,14617,1,1.3,"('22',)",14629,14617,1.6914285714285713,5.334977337653584
14617,14622,1,1.1,"('22',)",14617,14622,1.7205882352941178,5.390439314854599
14622,14632,1,1.6,"('22',)",14622,14632,1.7885714285714287,5.399442859525166
14632,14618,1,1.0,"('22',)",14632,14618,1.8057142857142856,5.398744018268501
14618,15018,1,1.55,"('22',)",14618,15018,1.906060606060606,5.531723250598509
15018,14005,2,0.55,"('22', 'NOWL')",15018,14005,,
14005,18059,1,1.6,"('22',)",14005,18059,1.9545454545454546,5.54318787505726
18059,13984,1,1.8333333333333333,"('22',)",18059,13984,1.993939393939394,5.510497901388959
13984,13285,1,1.1666666666666667,"('22',)",13984,13285,1.9090909090909092,5.485512945270231
13285,13301,1,2.533333333333333,"('22',)",13285,13301,1.9749999999999999,5.552622164637695
13301,13293,1,1.4666666666666666,"('22',)",13301,13293,2.1,5.517189048781997
13293,13299,1,2.066666666666667,"('22',)",13293,13299,2.4562500000000003,5.5845950267591675
13299,13282,2,2.8833333333333333,"('22', '33')",13299,13282,3.3249999999999997,4.470128125070405
13282,13296,2,0.8833333333333333,"('22', '33')",13282,13296,3.6999999999999997,4.654225841299301
13296,17761,1,1.8,"('22',)",13296,17761,2.432352941176471,5.386780709952123
17761,17762,1,1.1166666666666667,"('22',)",17761,17762,2.539393939393939,5.46511318466618
17762,17763,1,1.0833333333333333,"('22',)",17762,17763,2.609375,5.5586816361668046
17763,17866,1,1.7166666666666666,"('22',)",17763,17866,3.303030303030303,5.810630605218597
17866,17764,1,0.6833333333333333,"('22',)",17866,17764,3.496969696969697,5.748830579370298
17764,17321,1,1.6333333333333333,"('22',)",17764,17321,4.564516129032258,5.922248918955072
17321,17765,1,0.9666666666666667,"('22',)",17321,17765,5.270967741935484,5.906504524583446
15863,15878,1,0.6,"('23',)",15863,15878,1.8363636363636362,3.3407402554741448
15878,15879,1,0.6333333333333333,"('23',)",15878,15879,3.3454545454545452,8.877991173273786
15879,15881,2,0.7666666666666667,"('23', '24')",15879,15881,0.748,1.1314150432091665
15881,15883,2,0.7666666666666667,"('23', '24')",15881,15883,0.5499999999999999,1.0733936430981312
15883,15867,2,0.95,"('23', '24')",15883,15867,0.37083333333333335,0.8248737277102882
15867,18003,1,1.05,"('23',)",15867,18003,2.8727272727272726,9.002343129329265
18003,17032,1,0.9166666666666666,"('23',)",18003,17032,2.872727272727273,9.006785320977837
17032,13779,1,1.7666666666666666,"('23',)",17032,13779,2.8545454545454545,9.010256781730877
13779,17313,1,0.31666666666666665,"('23',)",13779,17313,2.8363636363636364,9.014130321586519
17313,14201,1,1.55,"('23',)",17313,14201,2.8181818181818183,9.020179397530647
14201,14195,1,0.6333333333333333,"('23',)",14201,14195,2.8454545454545457,9.013252868566779
14195,17689,1,0.48333333333333334,"('23',)",14195,17689,2.872727272727273,9.005563936710562
17689,14189,1,0.25,"('23',)",17689,14189,2.9272727272727277,8.99378573339291
14189,14203,1,0.45,"('23',)",14189,14203,2.936363636363636,8.992471598762236
14203,14199,1,0.35,"('23',)",14203,14199,2.909090909090909,8.997939157991071
14199,14197,1,0.5666666666666667,"('23',)",14199,14197,2.9272727272727277,8.99256258350098
14197,14198,1,0.45,"('23',)",14197,14198,2.9545454545454546,8.987253600112066
14198,13703,1,0.95,"('23',)",14198,13703,2.733333333333333,8.60542464572977
13703,13701,1,1.0666666666666667,"('23',)",13703,13701,2.8727272727272726,8.907984161311797
13701,13704,1,0.8166666666666667,"('23',)",13701,13704,2.8000000000000003,8.862618123331277
13704,14387,1,1.1166666666666667,"('23',)",13704,14387,3.1363636363636362,8.857795744684196
